cas_number,chemical_name,tsca_listed,cercla_rq_lbs,rcra_waste_code,rcra_characteristic,epcra_tpq_lbs
131-52-2,Sodium pentachlorophenate,yes,,,,
131-74-8,Ammonium picrate,yes,10,P009,,
131-89-5,"2-Cyclohexyl-4,6-dinitrophenol",yes,100,P034,,
132-27-4,Sodium o-phenylphenoxide,yes,,,,
132-64-9,Dibenzofuran,yes,100,,,
133-06-2,Captan,yes,10,,,
133-07-3,Folpet,yes,,,,
133-90-4,"Benzoic acid, 3-amino-2,5-dichloro-",yes,100,,,
134-29-2,o-Anisidine hydrochloride,yes,,,,
134-32-7,1-Naphthylamine,yes,100,U167,,
135-20-6,Cupferron,yes,,,,
135-98-8,sec-Butylbenzene,yes,,,,
136-45-8,Dipropyl isocinchomeronate,yes,,,,
137-26-8,Thiram,yes,10,U244,,
137-30-4,Ziram,yes,10,P205,,
137-41-7,Potassium N-methyldithiocarbamate,yes,,,,
137-42-8,Metham sodium,yes,,,,
138-93-2,Disodium cyanodithioimidocarbonate,yes,,,,
139-13-9,Nitrilotriacetic acid,yes,,,,
139-25-3,"3,3'-Dimethyldiphenylmethane-4,4'- diisocyanate",yes,,,,
139-65-1,"4,4'-Thiodianiline",yes,,,,
140-29-4,Benzyl cyanide,yes,,,,500
140-66-9,"p-(1,1,3,3-Tetramethylbutyl)phenol",yes,,,,
140-76-1,"Pyridine, 2-methyl-5-vinyl-",yes,,,,500
140-88-5,Ethyl acrylate,yes,1000,U113,,
141-32-2,n-Butyl acrylate,yes,,,,
141-66-2,Dicrotophos,yes,,,,100
141-78-6,Ethyl acetate,yes,5000,U112,,
142-28-9,"1,3-Dichloropropane",yes,1000,,,
142-59-6,Nabam,yes,,,,
142-62-1,Hexanoic acid,yes,,,,
142-71-2,Cupric acetate,yes,100,,,
142-82-5,n-Heptane,yes,,,,
142-84-7,Dipropylamine,yes,5000,U110,,
143-33-9,Sodium cyanide,yes,10,P106,,100
143-50-0,Kepone,yes,1,U142,,
144-49-0,Fluoroacetic acid,yes,,,,10
144-62-7,Oxalic acid,yes,,,,
145-73-3,Endothall,yes,1000,P088,,
148-79-8,Thiabendazole,yes,,,,
148-82-3,Melphalan,yes,1,U150,,
149-30-4,2-Mercaptobenzothiazole,yes,,,,
149-74-6,Dichloromethylphenylsilane,yes,,,,1000
150-50-5,Merphos,yes,,,,
150-68-5,Monuron,yes,,,,
151-38-2,Methoxyethylmercuric acetate,yes,,,,500
151-50-8,Potassium cyanide,yes,10,P098,,100
151-56-4,Ethyleneimine,yes,1,P054,,500
152-16-9,"Diphosphoramide, octamethyl-",yes,100,P085,,100
156-10-5,p-Nitrosodiphenylamine,yes,,,,
156-59-2,"cis- 1,2-Dichloroethylene",yes,,U079,,
156-60-5,trans-1-2-Dichloroethylene,yes,1000,U079,,
156-62-7,Calcium cyanamide,yes,1000,,,
189-55-9,Benzo[rst]pentaphene,yes,10,U064,,
189-64-0,"Dibenzo[a,h]pyrene",yes,,,,
191-24-2,"Benzo[g,h,i]perylene",yes,5000,,,
191-30-0,"Dibenzo[a,l]pyrene",yes,,,,
192-65-4,"Dibenzo[a,e]pyrene",yes,,,,
193-39-5,Indeno(1-2-3-cd)pyrene,yes,100,U137,,
194-59-2,"7H-Dibenzo[c,g]carbazole",yes,,,,
205-82-3,Benzo[j]fluoranthene,yes,,,,
205-99-2,Benzo(b)fluoranthene,yes,1,,,
206-44-0,Fluoranthene,yes,5000,U120,,
207-08-9,Benzo(k)fluoranthene,yes,5000,,,
208-96-8,Acenaphthylene,yes,5000,,,
218-01-9,Chrysene,yes,100,U050,,
224-42-0,"Dibenz[a,j]acridine",yes,,,,
225-51-4,Benz[c]acridine,yes,100,U016,,
226-36-8,"Dibenz[a,h]acridine",yes,,,,
297-78-9,Isobenzan,yes,,,,100
297-97-2,"O,O-Diethyl O-pyrazinyl phosphorothioate",yes,100,P040,,500
298-00-0,Methyl parathion,yes,100,P071,,100
298-02-2,Phorate,yes,10,P094,,10
298-04-4,Disulfoton,yes,1,P039,,500
300-62-9,Amphetamine,yes,,,,1000
300-76-5,Naled,yes,10,,,
301-04-2,Lead acetate,yes,10,U144,,
301-12-2,Oxydemeton-methyl,yes,,,,
302-01-2,Hydrazine sulfate,yes,1,U133,,1000
303-34-4,Lasiocarpine,yes,10,U143,,
305-03-3,Chlorambucil,yes,10,U035,,
306-83-2,"2,2-Dichloro-1,1,1-trifluoroethane",yes,,,,
307-24-4,Perfluorohexanoic acid,yes,,,,
307-35-7,Perfluorooctylsulfonyl fluoride,yes,,,,
307-55-1,Perfluorododecanoic acid,yes,,,,
309-00-2,Aldrin,yes,1,P004,,500
311-45-5,Diethyl-p-nitrophenyl phosphate,yes,100,P041,,
314-40-9,Bromacil,yes,,,,
315-18-4,Mexacarbate,yes,1000,P128,,500
316-42-7,"Emetine, dihydrochloride",yes,,,,1
319-84-6,alpha-BHC,yes,10,,,
319-85-7,beta-BHC,yes,1,,,
319-86-8,delta-BHC,yes,1,,,
327-98-0,Trichloronate,yes,,,,500
329-71-5,"2,5-Dinitrophenol",yes,10,,,
330-54-1,Diuron,yes,100,,,
330-55-2,Linuron,yes,,,,
333-41-5,Diazinon,yes,1,,,
334-88-3,Diazomethane,yes,100,,,
335-66-0,"Octanoyl fluoride, pentadecafluoro-",yes,,,,
335-67-1,Perfluorooctanoic acid,yes,1,,,
335-71-7,"1-Heptanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7- pentadecafluoro-",yes,,,,
335-76-2,Perfluorodecanoic acid,yes,,,,
335-93-3,Silver(I) perfluorooctanoate,yes,,,,
335-95-5,Sodium perfluorooctanoate,yes,,,,
353-42-4,Boron trifluoride dimethyl etherate,yes,,,,1000
353-50-4,Carbonic difluoride,yes,1000,U033,,
353-59-3,Bromochlorodifluoromethane,yes,,,,
354-11-0,HCFC-121a,yes,,,,
354-14-3,HCFC-121,yes,,,,
354-23-4,"1,2-Dichloro-1,1,2-trifluoroethane",yes,,,,
354-25-6,"1-Chloro-1,1,2,2-tetrafluoroethane",yes,,,,
355-46-4,Perfluorohexanesulfonic acid,yes,,,,
357-57-3,Brucine,yes,100,P018,,
359-06-8,Fluoroacetyl chloride,yes,,,,10
371-62-0,Ethylene fluorohydrin,yes,,,,10
375-22-4,Perfluorobutanoic acid,yes,,,,
375-73-5,Perfluorobutane sulfonic acid,yes,,,,
375-95-1,Perfluorononanoic acid,yes,,,,
376-06-7,Perfluorotetradecanoic acid,yes,,,,
376-14-7,2- [Ethyl[(heptadecafluorooctyl)sulfonyl]am ino]ethyl methacrylate,yes,,,,
376-27-2,Methyl perfluorooctanoate,yes,,,,
377-73-1,Perfluoro-3-methoxypropanoic acid,yes,,,,
379-79-3,Ergotamine tartrate,yes,,,,500
383-07-3,2- [Butyl[(heptadecafluorooctyl)sulfonyl]am ino]ethyl acrylate,yes,,,,
422-44-6,"1,2-Dichloro-1,1,2,3,3- pentafluoropropane",yes,,,,
422-48-0,"2,3-Dichloro-1,1,1,2,3- pentafluoropropane",yes,,,,
422-56-0,"3,3-Dichloro-1,1,1,2,2- pentafluoropropane",yes,,,,
422-64-0,Perfluoropropanoic acid,yes,,,,
423-82-5,2- [Ethyl[(heptadecafluorooctyl)sulfonyl]am ino]ethyl acrylate,yes,,,,
431-86-7,"1,2-Dichloro-1,1,3,3,3- pentafluoropropane",yes,,,,
460-19-5,Cyanogen,yes,100,P031,,
460-35-5,"3-Chloro-1,1,1-trifluoropropane",yes,,,,
463-49-0,Propadiene,yes,,,,
463-58-1,Carbonyl sulfide,yes,100,,,
463-82-1,"2,2-Dimethylpropane",yes,,,,
465-73-6,Isodrin,yes,1,P060,,100
470-90-6,Chlorfenvinfos,yes,,,,500
492-80-8,Auramine,yes,100,U014,,
494-03-1,Chlornaphazine,yes,100,U026,,
496-72-0,Diaminotoluene,yes,10,U221,,
502-39-6,Methylmercuric dicyanamide,yes,,,,500
504-24-5,4-Aminopyridine,yes,1000,P008,,500
504-60-9,"1,3-Pentadiene",yes,100,U186,,
505-60-2,"Ethane, 1,1'-thiobis[2-chloro-",yes,,,,500
506-61-6,Potassium silver cyanide,yes,1,P099,,500
506-64-9,Silver cyanide,yes,1,P104,,500
506-68-3,Cyanogen bromide,yes,1000,U246,,500
506-77-4,Cyanogen chloride,yes,10,P033,,500
506-78-5,Cyanogen iodide,yes,,,,1000
506-87-6,Ammonium carbonate,yes,5000,,,
506-96-7,Acetyl bromide,yes,5000,,,
507-55-1,"1,3-Dichloro-1,1,2,2,3- pentafluoropropane",yes,,,,
507-63-1,Perfluorooctyl iodide,yes,,,,
509-14-8,"Methane, tetranitro-",yes,10,P112,,500
510-15-6,"Benzeneacetic acid, 4-chloro-.alpha.-(4- chlorophenyl)-.alpha.-hydroxy-, ethyl ester",yes,10,U038,,
513-49-5,sec-Butylamine,yes,1000,,,
514-73-8,Dithiazanine iodide,yes,,,,500
526-73-8,1-2-3-Trimethylbenzene,yes,,,,
528-29-0,1-2-Dinitrobenzene,yes,100,,,
532-27-4,2-Chloroacetophenone,yes,100,,,
533-74-4,Dazomet,yes,,,,
534-07-6,Bis(chloromethyl) ketone,yes,,,,10
534-52-1,4-6-Dinitro-o-cresol,yes,10,P047,,10
535-89-7,Crimidine,yes,,,,100
538-07-8,Ethylbis(2-chloroethyl)amine,yes,,,,500
540-59-0,1-2-Dichloroethylene,yes,1000,U079,,
540-73-8,1-2-Dimethylhydrazine,yes,1,U099,,
540-84-1,2-2-4-Trimethylpentane,yes,1000,,,
540-88-5,tert-Butyl acetate,yes,5000,,,
541-09-3,Uranyl acetate,yes,100,,,
541-25-3,Lewisite,yes,,,,10
541-41-3,Ethyl chloroformate,yes,,,,
541-53-7,Dithiobiuret,yes,100,P049,,100
541-73-1,1-3-Dichlorobenzene,yes,100,U071,,
542-62-1,Barium cyanide,yes,10,P013,,
542-75-6,1-3-Dichloropropylene,yes,100,U084,,
542-76-7,3-Chloropropionitrile,yes,1000,P027,,1000
542-88-1,bis(Chloromethyl) ether,yes,10,P016,,100
542-90-5,Ethylthiocyanate,yes,,,,10000
543-90-8,Cadmium acetate,yes,10,,,
544-18-3,Cobaltous formate,yes,1000,,,
544-92-3,Copper cyanide,yes,10,P029,,
552-30-7,Trimellitic anhydride,yes,,,,
554-13-2,Lithium carbonate,yes,,,,
554-84-7,m-Nitrophenol,yes,100,,,
555-77-1,Tris(2-chloroethyl)amine,yes,,,,100
556-52-5,Glycidol,yes,,,,
556-61-6,Isothiocyanatomethane,yes,,,,500
556-64-9,Methyl thiocyanate,yes,,,,10000
557-19-7,Nickel cyanide,yes,10,P074,,
557-21-1,Zinc cyanide,yes,10,P121,,
557-34-6,Zinc acetate,yes,1000,,,
557-41-5,Zinc formate,yes,1000,,,
557-98-2,2-Chloropropylene,yes,,,,
558-25-8,Methanesulfonyl fluoride,yes,,,,1000
563-12-2,Ethion,yes,10,,,1000
563-41-7,Semicarbazide hydrochloride,yes,,,,1000
563-45-1,3-Methyl-1-butene,yes,,,,
563-46-2,2-Methyl-1-butene,yes,,,,
563-47-3,3-Chloro-2-methyl-1-propene,yes,,,,
563-68-8,Thallium(I) acetate,yes,100,U214,,
569-64-2,C.I. Basic Green 4,yes,,,,
573-56-8,"2,6-Dinitrophenol",yes,10,,,
576-24-9,2-3-Dichlorophenol,yes,,,,
583-78-8,2-5-Dichlorophenol,yes,,,,
584-02-1,3-Pentanol,yes,,,,
584-84-9,2-4-Toluene diisocyanate,yes,100,U223,,500
590-18-1,2-Butene-cis,yes,,,,
590-21-6,1-Chloropropylene,yes,,,,
591-08-2,1-Acetyl-2-thiourea,yes,1000,P002,,
591-35-5,3-5-Dichlorophenol,yes,,,,
591-78-6,2-Hexanone,yes,5000,U213,,
592-01-8,Calcium cyanide,yes,10,P021,,
592-04-1,Mercuric cyanide,yes,1,P065,,
592-85-8,Mercuric thiocyanate,yes,10,,,
592-87-0,Lead thiocyanate,yes,10,,,
593-60-2,Vinyl bromide,yes,100,,,
594-42-3,Perchloromethyl mercaptan,yes,100,,,10000
597-64-8,Tetraethyltin,yes,,,,100
598-31-2,Bromoacetone,yes,1000,P017,,
598-73-2,Bromotrifluoroethylene,yes,,,,
606-20-2,2-6-Dinitrotoluene,yes,100,U106,,
608-73-1,Hexachlorocyclohexane (all isomers),yes,,,,
608-93-5,Pentachlorobenzene,yes,10,U183,,
609-19-8,"3,4,5-Trichlorophenol",yes,10,,,
610-39-9,"3,4-Dinitrotoluene",yes,10,,,
611-14-3,2-Ethyltoluene,yes,,,,
612-82-8,"3,3'-Dimethylbenzidine dihydrochloride",yes,,,,
612-83-9,"3,3'-Dichlorobenzidine dihydrochloride",yes,,,,
614-78-8,"Thiourea, (2-methylphenyl)-",yes,,,,500
615-05-4,"2,4-Diaminoanisole",yes,,,,
615-28-1,"1,2-Phenylenediamine dihydrochloride",yes,,,,
615-53-2,N-Nitroso-N-methylurethane,yes,1,U178,,
621-64-7,N-Nitrosodi-n-propylamine,yes,10,U111,,
624-18-0,"1,4-Phenylenediamine dihydrochloride",yes,,,,
624-64-6,"2-Butene, (E)",yes,,,,
624-83-9,"Methane, isocyanato-",yes,10,P064,,500
625-16-1,tert-Amyl acetate,yes,5000,,,
626-38-0,sec-Amyl acetate,yes,5000,,,
627-11-2,Chloroethyl chloroformate,yes,,,,1000
627-20-3,"2-Pentene, (Z)-",yes,,,,
628-63-7,n-Amyl acetate,yes,5000,,,
628-86-4,Mercury fulminate,yes,10,P065,,
630-08-0,Carbon monoxide,yes,,,,
630-10-4,Selenourea,yes,1000,P103,,
630-20-6,1-1-1-2-Tetrachloroethane,yes,100,U208,,
630-60-4,Ouabain,yes,,,,100
631-61-8,Ammonium acetate,yes,5000,,,
634-66-2,1-2-3-4-Tetrachlorobenzene,yes,,,,
634-90-2,1-2-3-5-Tetrachlorobenzene,yes,,,,
636-21-5,o-Toluidine hydrochloride,yes,100,U222,,
637-92-3,Ethyl tert-butyl ether,yes,,,,
639-58-7,Triphenyltin chloride,yes,,,,500
640-19-7,Fluoroacetamide,yes,100,P057,,100
644-64-4,Dimetilan,yes,1,P191,,500
646-04-8,"2-Pentene, (E)-",yes,,,,
675-14-9,Cyanuric fluoride,yes,,,,100
676-97-1,Methyl phosphonic dichloride,yes,,,,100
678-39-7,"1-Decanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10- heptadecafluoro-",yes,,,,
680-31-9,Hexamethylphosphoramide,yes,1,,,
683-18-1,Dibutyltin dichloride,yes,,,,
684-93-5,N-Nitroso-N-methylurea,yes,1,U177,,
689-97-4,1-Buten-3-yne,yes,,,,
692-42-2,Diethylarsine,yes,1,P038,,
696-28-6,Dichlorophenylarsine,yes,1,P036,,500
709-98-8,Propanil,yes,,,,
757-58-4,Hexaethyl tetraphosphate,yes,100,P062,,
759-73-9,N-Nitroso-N-ethylurea,yes,1,U176,,
759-94-4,S-Ethyl dipropylthiocarbamate,yes,,,,
760-93-0,Methacrylic anhydride,yes,,,,500
764-41-0,1-4-Dichloro-2-butene,yes,1,U074,,
765-34-4,Glycidaldehyde,yes,10,U126,,
786-19-6,Carbophenothion,yes,,,,500
812-04-4,"1,1-Dichloro-1,2,2-trifluoroethane",yes,,,,
814-49-3,Diethyl chlorophosphate,yes,,,,500
814-68-6,Acrylyl chloride,yes,,,,100
814-91-5,Cupric oxalate,yes,,,,
815-82-7,Cupric tartrate,yes,100,,,
822-06-0,Hexamethylene diisocyanate,yes,100,,,100
823-40-5,Diaminotoluene,yes,10,U221,,
824-11-3,Trimethylolpropane phosphite,yes,,,,100
834-12-8,Ametryn,yes,,,,
842-07-9,C.I. Solvent Yellow 14,yes,,,,
865-86-1,"1-Dodecanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11, 12,12,12-heneicosafluoro-",yes,,,,
872-50-4,N-Methyl-2-pyrrolidone,yes,,,,
900-95-8,"Stannane, acetoxytriphenyl-",yes,,,,500
919-86-8,Demeton-S-methyl,yes,,,,500
920-46-7,Methacryloyl chloride,yes,,,,100
924-16-3,N-Nitrosodi-n-butylamine,yes,10,U172,,
924-42-5,N-Methylolacrylamide,yes,,,,
930-55-2,N-Nitrosopyrrolidine,yes,1,U180,,
933-75-5,"2,3,6-Trichlorophenol",yes,10,,,
933-78-8,"2,3,5-Trichlorophenol",yes,10,,,
944-22-9,Fonofos,yes,,,,500
947-02-4,Phosfolan,yes,,,,100
950-10-7,Mephosfolan,yes,,,,500
950-37-8,Methidathion,yes,,,,500
957-51-7,Diphenamid,yes,,,,
959-98-8,alpha - Endosulfan,yes,1,,,
961-11-5,Tetrachlorvinphos,yes,,,,
989-38-8,C.I. Basic Red 1,yes,,,,
991-42-4,Norbormide,yes,,,,100
994-05-8,tert-Amyl methyl ether,yes,,,,
998-30-1,Triethoxysilane,yes,,,,500
999-81-5,Chlormequat chloride,yes,,,,100
1024-57-3,Heptachlor epoxide,yes,1,,,
1031-07-8,Endosulfan sulfate,yes,1,,,
1031-47-6,Triamiphos,yes,,,,500
1066-30-4,Chromic acetate,yes,1000,,,
1066-33-7,Ammonium bicarbonate,yes,5000,,,
1066-45-1,Trimethyltin chloride,yes,,,,500
1072-35-1,Lead stearate,yes,10,,,
1111-78-0,Ammonium carbamate,yes,5000,,,
1114-71-2,Pebulate,yes,,,,
1116-54-7,N-Nitrosodiethanolamine,yes,1,U173,,
1120-71-4,"1,3-Propane sultone",yes,10,U193,,
1122-60-7,Nitrocyclohexane,yes,,,,500
1124-33-0,"Pyridine, 4-nitro-, 1-oxide",yes,,,,500
1129-41-5,Metolcarb,yes,1000,P190,,100
1134-23-2,Cycloate,yes,,,,
1163-19-5,Decabromodiphenyl oxide,yes,,,,
1185-57-5,Ferric ammonium citrate,yes,1000,,,
1194-65-6,Dichlobenil,yes,100,,,
1222-05-5,"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8- hexamethylcyclopenta[g]-2-benzopyran",yes,,,,
1300-71-6,Xylenol,yes,1000,,,
1303-28-2,Arsenic pentoxide,yes,1,P011,,100
1303-33-9,Arsenic trisulfide,yes,1,,,
1306-19-0,Cadmium oxide,yes,,,,100
1309-60-0,Lead dioxide,yes,,,,
1309-64-4,Antimony trioxide,yes,1000,,,
1310-58-3,Potassium hydroxide,yes,1000,,,
1310-73-2,Sodium hydroxide,yes,1000,,,
1313-27-5,Molybdenum trioxide,yes,,,,
1314-20-1,Thorium dioxide,yes,,,,
1314-32-5,Thallium oxide,yes,100,P113,,100
1314-62-1,Vanadium pentoxide,yes,1000,P120,,500
1314-80-3,Sulfur phosphide,yes,100,U189,,
1314-84-7,Zinc phosphide,yes,100,P122,,500
1314-87-0,Lead sulfide,yes,10,,,
1317-39-1,Cuprous oxide,yes,,,,
1319-72-8,"2,4,5-T amines",yes,5000,,,
1319-77-3,Cresol (mixed isomers),yes,100,U052,D026,
1320-18-9,"2,4-D Esters",yes,100,,,
1321-12-6,Nitrotoluene,yes,1000,,,
1321-64-8,Pentachloronaphthalene,yes,,,,
1327-53-3,Arsenic trioxide,yes,1,P012,,100
1330-20-7,Xylenes (mixed),yes,100,U239,,
1331-47-1,Dichlorobenzidine,yes,,,,
1332-07-6,Zinc borate,yes,1000,,,
1332-21-4,Asbestos,yes,1,,,
1333-74-0,Hydrogen,yes,,,,
1333-82-0,Chromium trioxide,yes,10,,D007,
1333-83-1,Sodium bifluoride,yes,100,,,
1333-86-4,Carbon black,yes,,,,
1335-32-6,Lead subacetate,yes,10,U146,,
1335-87-1,Hexachloronaphthalene,yes,,,,
1336-21-6,Ammonium hydroxide,yes,1000,,,
1336-36-3,PCBs,yes,1,,,
1338-23-4,Methyl ethyl ketone peroxide,yes,10,U160,,
1338-24-5,Naphthenic acid,yes,100,,,
1341-49-7,Ammonium bifluoride,yes,100,,,
1344-28-1,Aluminum oxide,yes,,,,
1397-94-0,Antimycin A,yes,,,,1000
1420-07-1,Dinoterb,yes,,,,500
1464-53-5,"2,2'-Bioxirane",yes,10,U085,,500
1476-11-5,"cis-1,4-dichloro-2-butene",yes,,U074,,
1558-25-4,Trichloro(chloromethyl)silane,yes,,,,100
1563-38-8,Carbofuran phenol,yes,10,U367,,
1563-66-2,Carbofuran,yes,10,P127,,10
1582-09-8,"Benezeneamine, 2,6-dinitro-N,N- dipropyl-4-(trifluoromethyl)-",yes,10,,,
1600-27-7,Mercuric acetate,yes,,,,500
1615-80-1,"Hydrazine, 1,2-diethyl-",yes,10,U086,,
1622-32-8,"Ethanesulfonyl chloride, 2-chloro-",yes,,,,500
1634-04-4,MTBE,yes,1000,,,
1646-88-4,Aldicarb sulfone,yes,100,P203,,
1649-08-7,"1,2-Dichloro-1,1-difluoroethane",yes,,,,
1652-63-7,"3- [[(Heptadecafluorooctyl)sulfonyl]amino]- N,N,N-trimethyl-1-propanaminium iodide",yes,,,,
1689-84-5,Bromoxynil,yes,,,,
1689-99-2,Bromoxynil octanoate,yes,,,,
1691-99-2,N-Ethyl-N-(2- hydroxyethyl)perfluorooctanesulfonamid e,yes,,,,
1717-00-6,"1,1-Dichloro-1-fluoroethane",yes,,,,
1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD)",yes,1,,,
1752-30-3,Acetone thiosemicarbazide,yes,,,,1000
1762-95-4,Ammonium thiocyanate,yes,5000,,,
1763-23-1,Perfluorooctanesulfonic acid,yes,1,,,
1836-75-5,Nitrofen,yes,,,,
1861-40-1,Benfluralin,yes,,,,
1863-63-4,Ammonium benzoate,yes,5000,,,
1888-71-7,Hexachloropropene,yes,1000,U243,,
1897-45-6,Chlorothalonil,yes,,,,
1910-42-5,Paraquat dichloride,yes,,,,10
1912-24-9,Atrazine,yes,,,,
1918-00-9,Dicamba,yes,1000,,,
1918-02-1,Picloram,yes,,,,
1918-16-7,Propachlor,yes,,,,
1928-38-7,"2,4-D Esters",yes,100,,,
1928-43-4,"2,4-D 2-ethylhexyl ester",yes,,,,
1928-47-8,"2,4,5-T esters",yes,1000,,,
1928-61-6,"2,4-D Esters",yes,100,,,
1929-73-3,"2,4-D 2-butoxyethyl ester",yes,100,,,
1929-82-4,Nitrapyrin,yes,,,,
1937-37-7,C.I. Direct Black 38,yes,,,,
1982-47-4,Chloroxuron,yes,,,,500
1982-69-0,Sodium dicamba,yes,,,,
1983-10-4,Tributyltin fluoride,yes,,,,
1996-88-9,"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10- heptadecafluorodecyl ester",yes,,,,
2001-95-8,Valinomycin,yes,,,,1000
2008-46-0,"2,4,5-T amines",yes,5000,,,
2032-65-7,Mercaptodimethur,yes,10,P199,,500
2043-53-0,"Decane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8- heptadecafluoro-10-iodo-",yes,,,,
2043-54-1,"Dodecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10, 10-heneicosafluoro-12-iodo-",yes,,,,
2074-50-2,Paraquat methosulfate,yes,,,,10
2097-19-0,Phenylsilatrane,yes,,,,100
2104-64-5,EPN,yes,,,,100
2144-54-9,"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11, 12,12,12-heneicosafluorododecyl ester",yes,,,,
2155-70-6,Tributyltin methacrylate,yes,,,,
2164-07-0,Dipotassium endothall,yes,,,,
2164-17-2,Fluometuron,yes,,,,
2212-67-1,Molinate,yes,,,,
2218-54-4,Sodium perfluorobutanoate,yes,,,,
2223-93-0,Cadmium stearate,yes,,,,1000
2231-57-4,Thiocarbazide,yes,,,,1000
2234-13-1,Octachloronaphthalene,yes,,,,
2238-07-5,Diglycidyl ether,yes,,,,1000
2275-18-5,Prothoate,yes,,,,100
2300-66-5,Dimethylamine dicamba,yes,,,,
2303-16-4,"Carbamothioic acid, bis(1-methylethyl)- S-(2,3-dichloro-2-propenyl)ester",yes,100,U062,,
2303-17-5,Triallate,yes,100,U389,,
2312-35-8,Propargite,yes,10,,,
2385-85-5,Mirex,yes,1,U235,,
2395-00-8,Potassium perfluorooctanoate,yes,,,,
2426-08-6,n-Butyl glycidyl ether,yes,,,,
2439-01-2,Chinomethionat,yes,,,,
2439-10-3,Dodine,yes,,,,
2451-62-9,Triglycidyl isocyanurate,yes,,,,
2497-07-6,Oxydisulfoton,yes,,,,500
2524-03-0,Dimethyl chlorothiophosphate,yes,,,,500
2540-82-1,Formothion,yes,,,,100
2545-59-7,"2,4,5-T esters",yes,1000,,,
2556-36-7,"1,4-Cyclohexane diisocyanate",yes,,,,
2570-26-5,Pentadecylamine,yes,,,,100
2587-90-8,"Phosphorothioic acid, O,O-dimethyl-5- (2-(methylthio)ethyl)ester",yes,,,,500
2602-46-2,C.I. Direct Blue 6,yes,,,,
2631-37-0,Promecarb,yes,1000,P201,,500
2636-26-2,Cyanophos,yes,,,,1000
2642-71-9,Azinphos-ethyl,yes,,,,100
2655-15-4,"2,3,5-Trimethylphenyl methylcarbamate",yes,,,,
2665-30-7,"Phosphonothioic acid, methyl-, O-(4- nitrophenyl) O-phenyl ester",yes,,,,500
2699-79-8,Sulfuryl fluoride,yes,,,,
2702-72-9,"2,4-D sodium salt",yes,,,,
2703-13-1,"Phosphonothioic acid, methyl-, O-ethyl O-(4-(methylthio)phenyl) ester",yes,,,,500
2757-18-8,Thallous malonate,yes,,,,100
2763-96-4,5-(Aminomethyl)-3-isoxazolol,yes,1000,P007,,500
2764-72-9,Diquat,yes,1000,,,
2778-04-3,Endothion,yes,,,,500
2795-39-3,Potassium perfluorooctanesulfonate,yes,,,,
2832-40-8,C.I. Disperse Yellow 3,yes,,,,
2837-89-0,"2-Chloro-1,1,1,2-tetrafluoroethane",yes,,,,
2921-88-2,Chlorpyrifos,yes,1,,,
2923-26-4,Sodium perfluorohexanoate,yes,,,,
2944-67-4,Ferric ammonium oxalate,yes,1000,,,
2966-54-3,Potassium heptafluorobutanoate,yes,,,,
2971-38-2,"2,4-D chlorocrotyl ester",yes,100,,,
2991-51-7,"Glycine, N-ethyl-N- [(heptadecafluorooctyl)sulfonyl]-, potassium salt",yes,,,,
3012-65-5,"Ammonium citrate, dibasic",yes,5000,,,
3037-72-7,"Silane, (4-aminobutyl)diethoxymethyl-",yes,,,,1000
3107-18-4,"Cyclohexanesulfonic acid, undecafluoro- , potassium salt",yes,,,,
3108-42-7,Ammonium perfluorodecanoate (PFDA NH4),yes,,,,
3118-97-6,C.I. Solvent Orange 7,yes,,,,
3164-29-2,Ammonium tartrate,yes,5000,,,
3165-93-3,"4-Chloro-o-toluidine, hydrochloride",yes,100,U049,,
3173-72-6,1-5-Naphthalene diisocyanate,yes,,,,100
3194-55-6,"1,2,5,6,9,10-Hexabromocyclododecane",yes,,,,
3251-23-8,Cupric nitrate,yes,100,,,
3254-63-5,"Phosphoric acid, dimethyl 4-(methylthio) phenyl ester",yes,,,,500
3268-87-9,"1,2,3,4,6,7,8,9-octachlorodibenzo-p- dioxin",yes,,,,
3288-58-2,"O,O-Diethyl S-methyl dithiophosphate",yes,5000,U087,,
3296-90-0,"2,2-Bis(bromomethyl)-1,3-propanediol",yes,,,,
3383-96-8,Temephos,yes,,,,
3486-35-9,Zinc carbonate,yes,1000,,,
3547-04-4,DDE b,yes,5000,,,
3569-57-1,"Sulfoxide, 3-chloropropyl octyl",yes,,,,500
3615-21-2,"Benzimidazole, 4,5-dichloro-2- (trifluoromethyl)-",yes,,,,500
3653-48-3,Methoxone sodium salt,yes,,,,
3689-24-5,Sulfotep,yes,100,P109,,500
3691-35-8,Chlorophacinone,yes,,,,100
3697-24-3,5-Methylchrysene,yes,,,,
3734-97-2,Amiton oxalate,yes,,,,100
3735-23-7,Methyl phenkapton,yes,,,,500
