cas_number,chemical_name,tsca_listed,cercla_rq_lbs,rcra_waste_code,rcra_characteristic,epcra_tpq_lbs
75-08-1,Ethanethiol,yes,,,,
75-09-2,Dichloromethane,yes,1000,U080,,
75-12-7,Formamide,yes,,,,
75-15-0,Carbon disulfide,yes,100,P022,,10000
75-19-4,Cyclopropane,yes,,,,
75-20-7,Calcium carbide,yes,10,,,
75-21-8,Ethylene oxide,yes,10,U115,,1000
75-25-2,Bromoform,yes,100,U225,,
75-27-4,Bromodichloromethane,yes,5000,,,
75-28-5,Isobutane,yes,,,,
75-29-6,Isopropyl chloride,yes,,,,
75-31-0,Isopropylamine,yes,,,,
75-34-3,1-1-Dichloroethane,yes,1000,U076,,
75-35-4,Vinylidene chloride,yes,100,U078,,
75-36-5,Acetyl chloride,yes,5000,U006,,
75-37-6,Difluoroethane,yes,,,,
75-38-7,"Ethene, 1,1-difluoro-",yes,,,,
75-43-4,Dichlorofluoromethane,yes,,,,
75-44-5,Phosgene,yes,10,P095,,10
75-45-6,Chlorodifluoromethane,yes,,,,
75-50-3,"Methanamine, N,N-dimethyl-",yes,100,,,
75-52-5,Nitromethane,yes,,,,
75-55-8,Propyleneimine,yes,1,P067,,10000
75-56-9,Propylene oxide,yes,100,,,10000
75-60-5,Cacodylic acid,yes,1,U136,,
75-63-8,Bromotrifluoromethane,yes,,,,
75-64-9,tert-Butylamine,yes,1000,,,
75-65-0,tert-Butanol,yes,,,,
75-68-3,"1-Chloro-1,1-difluoroethane",yes,,,,
75-69-4,Trichlorofluoromethane,yes,5000,U121,,
75-71-8,Dichlorodifluoromethane,yes,5000,U075,,
75-72-9,CFC-13,yes,,,,
75-74-1,"Plumbane, tetramethyl-",yes,,,,100
75-76-3,"Silane, tetramethyl-",yes,,,,
75-77-4,"Silane, chlorotrimethyl-",yes,,,,1000
75-78-5,Dimethyldichlorosilane,yes,,,,500
75-79-6,Methyltrichlorosilane,yes,,,,500
75-86-5,Acetone cyanohydrin,yes,10,P069,,1000
75-87-6,"Acetaldehyde, trichloro-",yes,5000,U034,,
75-88-7,"2-Chloro-1,1,1-trifluoroethane",yes,,,,
75-97-8,Pinacolone,yes,,,,
75-99-0,Dalapon,yes,5000,,,
76-01-7,Pentachloroethane,yes,10,U184,,
76-02-8,Trichloroacetyl chloride,yes,,,,500
76-03-9,Trichloroacetic acid,yes,5000,,,
76-06-2,Chloropicrin,yes,,,,
76-13-1,1-1-2-Trichloro-1-2-2-trifluoroethane,yes,5000,,,
76-14-2,Dichlorotetrafluoroethane,yes,5000,,,
76-15-3,CFC-115,yes,,,,
76-44-8,Heptachlor,yes,1,P059,,500
76-87-9,Triphenyltin hydroxide,yes,,,,
77-09-8,Phenolphthalein,yes,,,,
77-47-4,Hexachlorocyclopentadiene,yes,10,U130,,100
77-73-6,Dicyclopentadiene,yes,,,,
77-78-1,Dimethyl sulfate,yes,100,U103,,500
77-81-6,Tabun,yes,,,,10
78-00-2,Tetraethyl lead,yes,10,P110,,100
78-34-2,Dioxathion,yes,,,,500
78-48-8,"S,S,S-Tributyltrithiophosphate",yes,,,,
78-53-5,Amiton,yes,,,,500
78-59-1,Isophorone,yes,5000,U141,,
78-71-7,"Oxetane, 3,3-bis(chloromethyl)-",yes,,,,500
78-78-4,"Butane, 2-methyl-",yes,,,,
78-79-5,"1,3-Butadiene, 2-methyl-",yes,100,,,
78-81-9,iso-Butylamine,yes,1000,,,
